instance,algorithm,n,m,mean_initial_cmax,neh_cmax,mean_best_cmax,best_cmax,mean_improvement_vs_initial_percent,mean_improvement_vs_neh_percent,mean_time_s,mean_objective_evaluations
data.111,Simulated Annealing,500,20,30257.333333333332,26670,27338.0,27280,9.644643434555691,-2.5046869141357333,0.33744959996935603,10000.0
data.111,Tabu Search,500,20,30257.333333333332,26670,27175.666666666668,27108,10.180184898916627,-1.896012998375203,0.49386190000222996,20000.0
data.112,Simulated Annealing,500,20,30918.666666666668,27232,27775.666666666668,27745,10.160820011214716,-1.9964257735996866,0.33103223333212856,10000.0
data.112,Tabu Search,500,20,30918.666666666668,27232,27595.0,27574,10.744985838652871,-1.3329905992949471,0.5147161666536704,20000.0
data.113,Simulated Annealing,500,20,30539.0,26848,27478.333333333332,27431,10.017828990694076,-2.3477850615812472,0.3376068666499729,10000.0
data.113,Tabu Search,500,20,30539.0,26848,27390.333333333332,27327,10.30532079183774,-2.0200139054429878,0.5061542333375352,20000.0
data.114,Simulated Annealing,500,20,30524.666666666668,27055,27538.333333333332,27473,9.779695937327245,-1.7864843220600013,0.3241393333300948,10000.0
data.114,Tabu Search,500,20,30524.666666666668,27055,27405.333333333332,27368,10.214938241323607,-1.2948931189552146,0.4939945333365661,20000.0
data.115,Simulated Annealing,500,20,30505.0,26727,27375.666666666668,27321,10.25701291077462,-2.427008892380988,0.31755106665271643,10000.0
data.115,Tabu Search,500,20,30505.0,26727,27370.0,27337,10.274677693880278,-2.405806861974782,0.5005896666746897,20000.0
data.116,Simulated Annealing,500,20,30526.333333333332,26992,27568.333333333332,27548,9.681351369653855,-2.1352005532503457,0.3165311333529341,10000.0
data.116,Tabu Search,500,20,30526.333333333332,26992,27536.666666666668,27528,9.785376626095458,-2.0178818415332938,0.5045993333139146,20000.0
data.117,Simulated Annealing,500,20,30726.666666666668,26797,27364.0,27338,10.940084323520807,-2.115908497219838,0.3470388999946105,10000.0
data.117,Tabu Search,500,20,30726.666666666668,26797,27274.0,27268,11.23321459878342,-1.7800500055976416,0.5122135333173597,20000.0
data.118,Simulated Annealing,500,20,30737.333333333332,27138,27683.0,27606,9.92406083514422,-2.0082541086299655,0.3669274333127153,10000.0
data.118,Tabu Search,500,20,30737.333333333332,27138,27553.0,27459,10.343068217574244,-1.529221018498047,0.5454749666581241,20000.0
data.119,Simulated Annealing,500,20,30402.0,26631,27164.333333333332,27040,10.64366065800994,-2.0026785826042333,0.3200853333304015,10000.0
data.119,Tabu Search,500,20,30402.0,26631,27169.666666666668,27140,10.626738327700963,-2.0227053684302754,0.5009137666784227,20000.0
data.120,Simulated Annealing,500,20,30445.333333333332,26984,27625.666666666668,27583,9.259844351506432,-2.3779523668346676,0.31813026665865135,10000.0
data.120,Tabu Search,500,20,30445.333333333332,26984,27436.666666666668,27346,9.879769986872653,-1.6775373060579108,0.5462293333257549,20000.0
