instance,algorithm,iterations,repeat,seed,initial_cmax,neh_cmax,best_cmax,improvement_vs_initial_percent,objective_evaluations,time_s
data.120,Simulated Annealing,100,1,2026,31307,26984,30416,2.846008879803239,100,0.004148999985773116
data.120,Tabu Search,100,1,2026,31307,26984,28301,9.601686523780623,4000,0.10122910002246499
data.120,Simulated Annealing,100,2,2027,30859,26984,30405,1.4712077513853332,100,0.003931199957150966
data.120,Tabu Search,100,2,2027,30859,26984,28243,8.477267571859102,4000,0.10241839999798685
data.120,Simulated Annealing,100,3,2028,30462,26984,30301,0.5285273455452695,100,0.0033227999811060727
data.120,Tabu Search,100,3,2028,30462,26984,28160,7.556956207734226,4000,0.10237739997683093
data.120,Simulated Annealing,500,1,2026,31307,26984,29821,4.746542306832338,500,0.01635239995084703
data.120,Tabu Search,500,1,2026,31307,26984,27466,12.268821669275242,20000,0.589396100025624
data.120,Simulated Annealing,500,2,2027,30859,26984,29871,3.2016591594024435,500,0.0183730999706313
data.120,Tabu Search,500,2,2027,30859,26984,27531,10.784536115881915,20000,0.5384278999990784
data.120,Simulated Annealing,500,3,2028,30462,26984,29866,1.956536012080625,500,0.037879499956034124
data.120,Tabu Search,500,3,2028,30462,26984,27489,9.75970061059681,20000,0.6023014999809675
data.120,Simulated Annealing,1000,1,2026,31307,26984,28836,7.892803526367905,1000,0.03374749998329207
data.120,Tabu Search,1000,1,2026,31307,26984,27229,13.025840866259943,40000,0.97062029998051
data.120,Simulated Annealing,1000,2,2027,30859,26984,29016,5.972325739654558,1000,0.03189280000515282
data.120,Tabu Search,1000,2,2027,30859,26984,27270,11.630318545643087,40000,1.000025600020308
data.120,Simulated Annealing,1000,3,2028,30462,26984,28983,4.855229466220209,1000,0.03764649998629466
data.120,Tabu Search,1000,3,2028,30462,26984,27239,10.58039524653667,40000,1.010655099991709
data.120,Simulated Annealing,2000,1,2026,31307,26984,28124,10.167055291148944,2000,0.0691647999919951
data.120,Tabu Search,2000,1,2026,31307,26984,27152,13.271792250934295,80000,2.115252999996301
data.120,Simulated Annealing,2000,2,2027,30859,26984,28187,8.658738131501345,2000,0.06784600001992658
data.120,Tabu Search,2000,2,2027,30859,26984,27123,12.106678764703975,80000,1.9898267000098713
data.120,Simulated Annealing,2000,3,2028,30462,26984,28067,7.862254612303854,2000,0.06688580004265532
data.120,Tabu Search,2000,3,2028,30462,26984,27167,10.816755301687348,80000,2.036670899949968
data.120,Simulated Annealing,5000,1,2026,31307,26984,27753,11.352093780943559,5000,0.24892710003769025
data.120,Tabu Search,5000,1,2026,31307,26984,26967,13.862714408918134,200000,4.799396799993701
data.120,Simulated Annealing,5000,2,2027,30859,26984,27786,9.958196960368126,5000,0.16655340004945174
data.120,Tabu Search,5000,2,2027,30859,26984,27061,12.307592598593603,200000,4.8536348000052385
data.120,Simulated Annealing,5000,3,2028,30462,26984,27794,8.75845315475018,5000,0.222641600004863
data.120,Tabu Search,5000,3,2028,30462,26984,27100,11.036701464119231,200000,4.890817100007553
data.120,Simulated Annealing,10000,1,2026,31307,26984,27460,12.28798671223688,10000,0.3186983999912627
data.120,Tabu Search,10000,1,2026,31307,26984,26923,14.003258057303478,400000,9.865055400005076
data.120,Simulated Annealing,10000,2,2027,30859,26984,27653,10.389189539518455,10000,0.31215479999082163
data.120,Tabu Search,10000,2,2027,30859,26984,27034,12.395087332706828,400000,10.29574179998599
data.120,Simulated Annealing,10000,3,2028,30462,26984,27614,9.34935329262688,10000,0.3322347999783233
data.120,Tabu Search,10000,3,2028,30462,26984,26938,11.56851158820826,400000,9.873969500011299
