iterations,algorithm,mean_initial_cmax,mean_best_cmax,best_cmax,mean_improvement_vs_initial_percent,mean_objective_evaluations,mean_time_s,runs
100,Simulated Annealing,30876.0,30374.0,30301,1.615247992244614,100.0,0.0038009999746767185,3
100,Tabu Search,30876.0,28234.666666666668,28160,8.545303434457983,4000.0,0.10200829999909426,3
500,Simulated Annealing,30876.0,29852.666666666668,29821,3.3015791594384685,500.0,0.024201666625837486,3
500,Tabu Search,30876.0,27495.333333333332,27466,10.93768613191799,20000.0,0.57670850000189,3
1000,Simulated Annealing,30876.0,28945.0,28836,6.240119577414224,1000.0,0.03442893332491318,3
1000,Tabu Search,30876.0,27246.0,27229,11.7455182194799,40000.0,0.9937669999975091,3
2000,Simulated Annealing,30876.0,28126.0,28067,8.896016011651382,2000.0,0.06796553335152566,3
2000,Tabu Search,30876.0,27147.333333333332,27123,12.06507543910854,80000.0,2.04725019998538,3
5000,Simulated Annealing,30876.0,27777.666666666668,27753,10.02291463202062,5000.0,0.212707366697335,3
5000,Tabu Search,30876.0,27042.666666666668,26967,12.402336157210323,200000.0,4.847949566668831,3
10000,Simulated Annealing,30876.0,27575.666666666668,27460,10.675509848127405,10000.0,0.3210293333201359,3
10000,Tabu Search,30876.0,26965.0,26923,12.655618992739521,400000.0,10.011588900000788,3
