iteration,temperature,current_cmax,best_cmax,candidate_cmax,delta,accepted,accepted_worse,objective_evaluations
1,1000.0,30473,30473,30473,-13,True,False,1
2,995.0,30493,30473,30493,20,True,True,2
3,990.0250000000001,30490,30473,30490,-3,True,False,3
4,985.074875,30420,30420,30420,-70,True,False,4
5,980.149500625,30435,30420,30435,15,True,True,5
6,975.248753121875,30364,30364,30364,-71,True,False,6
7,970.3725093562656,30322,30322,30322,-42,True,False,7
8,965.5206468094842,30322,30322,30322,0,True,False,8
9,960.6930435754368,30322,30322,30398,76,False,False,9
10,955.8895783575596,30285,30285,30285,-37,True,False,10
11,951.1101304657718,30285,30285,30285,0,True,False,11
12,946.3545798134429,30233,30233,30233,-52,True,False,12
13,941.6228069143757,30220,30220,30220,-13,True,False,13
14,936.9146928798039,30192,30192,30192,-28,True,False,14
15,932.2301194154049,30226,30192,30226,34,True,True,15
16,927.5689688183278,30184,30184,30184,-42,True,False,16
17,922.9311239742361,30250,30184,30250,66,True,True,17
18,918.3164683543649,30250,30184,30250,0,True,False,18
19,913.7248860125932,30184,30184,30184,-66,True,False,19
20,909.1562615825302,30206,30184,30206,22,True,True,20
21,904.6104802746175,30312,30184,30312,106,True,True,21
22,900.0874278732445,30320,30184,30320,8,True,True,22
23,895.5869907338782,30325,30184,30325,5,True,True,23
24,891.1090557802088,30304,30184,30304,-21,True,False,24
25,886.6535105013078,30376,30184,30376,72,True,True,25
26,882.2202429488012,30411,30184,30411,35,True,True,26
27,877.8091417340572,30418,30184,30418,7,True,True,27
28,873.4200960253869,30424,30184,30424,6,True,True,28
29,869.05299554526,30302,30184,30302,-122,True,False,29
30,864.7077305675336,30290,30184,30290,-12,True,False,30
31,860.3841919146961,30268,30184,30268,-22,True,False,31
32,856.0822709551226,30281,30184,30281,13,True,True,32
33,851.8018596003469,30327,30184,30327,46,True,True,33
34,847.5428503023452,30327,30184,30327,0,True,False,34
35,843.3051360508334,30314,30184,30314,-13,True,False,35
36,839.0886103705792,30314,30184,30314,0,True,False,36
37,834.8931673187265,30314,30184,30314,0,True,False,37
38,830.7187014821328,30344,30184,30344,30,True,True,38
39,826.5651079747221,30344,30184,30344,0,True,False,39
40,822.4322824348485,30314,30184,30314,-30,True,False,40
41,818.3201210226742,30298,30184,30298,-16,True,False,41
42,814.2285204175608,30297,30184,30297,-1,True,False,42
