iteration,current_cmax,best_cmax,candidate_cmax,move_i,move_j,tabu_used,improved_best,objective_evaluations
1,30392,30392,30392,132,222,False,True,40
2,30277,30277,30277,378,443,False,True,80
3,30184,30184,30184,75,266,False,True,120
4,30136,30136,30136,109,380,False,True,160
5,30040,30040,30040,53,358,False,True,200
6,29964,29964,29964,11,478,False,True,240
7,29915,29915,29915,214,474,False,True,280
8,29812,29812,29812,224,492,False,True,320
9,29737,29737,29737,367,399,False,True,360
10,29691,29691,29691,58,280,False,True,400
11,29634,29634,29634,109,495,False,True,440
12,29584,29584,29584,139,274,False,True,480
13,29525,29525,29525,100,281,False,True,520
14,29461,29461,29461,253,436,False,True,560
15,29394,29394,29394,159,318,False,True,600
16,29360,29360,29360,20,260,False,True,640
17,29304,29304,29304,156,497,False,True,680
18,29229,29229,29229,148,310,False,True,720
19,29201,29201,29201,322,480,False,True,760
20,29146,29146,29146,96,302,False,True,800
21,29096,29096,29096,138,488,False,True,840
22,29060,29060,29060,136,388,False,True,880
23,29020,29020,29020,64,402,False,True,920
24,29020,29020,29020,214,237,False,False,960
25,29019,29019,29019,5,496,False,True,1000
26,28988,28988,28988,19,328,False,True,1040
27,28973,28973,28973,233,320,False,True,1080
28,28952,28952,28952,301,464,False,True,1120
29,28899,28899,28899,281,305,False,True,1160
30,28869,28869,28869,79,240,False,True,1200
31,28841,28841,28841,7,420,False,True,1240
32,28824,28824,28824,2,155,False,True,1280
33,28771,28771,28771,196,489,False,True,1320
34,28750,28750,28750,71,153,False,True,1360
35,28750,28750,28750,371,372,False,False,1400
36,28728,28728,28728,42,117,False,True,1440
37,28728,28728,28728,17,107,False,False,1480
38,28717,28717,28717,311,453,False,True,1520
39,28694,28694,28694,203,456,False,True,1560
40,28665,28665,28665,105,319,False,True,1600
41,28634,28634,28634,0,371,False,True,1640
42,28602,28602,28602,81,242,False,True,1680
43,28576,28576,28576,345,407,False,True,1720
44,28558,28558,28558,229,352,False,True,1760
45,28559,28558,28559,429,439,False,False,1800
46,28553,28553,28553,43,499,False,True,1840
47,28524,28524,28524,11,145,False,True,1880
48,28492,28492,28492,84,471,False,True,1920
49,28457,28457,28457,129,203,False,True,1960
50,28424,28424,28424,42,469,False,True,2000
51,28373,28373,28373,73,300,False,True,2040
52,28353,28353,28353,0,3,False,True,2080
53,28339,28339,28339,193,238,False,True,2120
54,28339,28339,28339,87,93,False,False,2160
55,28330,28330,28330,343,359,False,True,2200
56,28330,28330,28330,403,440,False,False,2240
57,28330,28330,28330,354,437,False,False,2280
58,28309,28309,28309,66,119,False,True,2320
59,28293,28293,28293,183,433,False,True,2360
60,28286,28286,28286,213,274,False,True,2400
61,28263,28263,28263,78,206,False,True,2440
62,28263,28263,28263,350,425,False,False,2480
63,28252,28252,28252,39,491,False,True,2520
64,28230,28230,28230,4,239,False,True,2560
65,28205,28205,28205,209,229,False,True,2600
66,28196,28196,28196,125,126,False,True,2640
67,28193,28193,28193,344,383,False,True,2680
68,28189,28189,28189,315,430,False,True,2720
69,28170,28170,28170,25,476,False,True,2760
70,28166,28166,28166,74,360,False,True,2800
71,28163,28163,28163,465,471,False,True,2840
72,28154,28154,28154,148,281,False,True,2880
73,28150,28150,28150,30,318,False,True,2920
74,28149,28149,28149,239,445,False,True,2960
75,28141,28141,28141,5,256,False,True,3000
76,28141,28141,28141,101,118,False,False,3040
77,28137,28137,28137,220,233,False,True,3080
78,28137,28137,28137,222,226,False,False,3120
79,28133,28133,28133,0,233,False,True,3160
80,28133,28133,28133,189,198,False,False,3200
81,28133,28133,28133,180,228,False,False,3240
82,28124,28124,28124,116,149,False,True,3280
83,28107,28107,28107,109,178,False,True,3320
84,28100,28100,28100,140,167,False,True,3360
85,28073,28073,28073,47,161,False,True,3400
86,28072,28072,28072,468,483,False,True,3440
87,28070,28070,28070,45,334,False,True,3480
88,28070,28070,28070,283,293,False,False,3520
89,28070,28070,28070,120,128,False,False,3560
90,28068,28068,28068,19,133,False,True,3600
91,28054,28054,28054,9,12,False,True,3640
92,28054,28054,28054,279,284,False,False,3680
93,28054,28054,28054,174,189,False,False,3720
94,28048,28048,28048,287,345,False,True,3760
95,28048,28048,28048,16,26,False,False,3800
96,28018,28018,28018,211,402,False,True,3840
97,28013,28013,28013,156,222,False,True,3880
98,28007,28007,28007,91,235,False,True,3920
99,27980,27980,27980,1,111,False,True,3960
100,27972,27972,27972,156,230,False,True,4000
101,27969,27969,27969,295,359,False,True,4040
102,27969,27969,27969,74,89,False,False,4080
103,27969,27969,27969,270,281,False,False,4120
104,27969,27969,27969,312,316,False,False,4160
105,27978,27969,27978,410,498,False,False,4200
106,27973,27969,27973,310,358,False,False,4240
107,27973,27969,27973,73,151,False,False,4280
108,27979,27969,27979,261,274,False,False,4320
109,27973,27969,27973,401,415,False,False,4360
110,27963,27963,27963,353,386,False,True,4400
111,27963,27963,27963,56,66,False,False,4440
112,27963,27963,27963,402,435,False,False,4480
113,27952,27952,27952,107,151,False,True,4520
114,27952,27952,27952,409,413,False,False,4560
115,27952,27952,27952,5,10,False,False,4600
116,27952,27952,27952,437,473,False,False,4640
117,27936,27936,27936,385,402,False,True,4680
118,27933,27933,27933,191,264,False,True,4720
119,27933,27933,27933,173,185,False,False,4760
120,27933,27933,27933,49,53,False,False,4800
121,27947,27933,27947,226,498,False,False,4840
122,27939,27933,27939,174,195,False,False,4880
123,27939,27933,27939,57,63,False,False,4920
124,27941,27933,27941,26,227,False,False,4960
125,27941,27933,27941,62,67,False,False,5000
126,27939,27933,27939,211,284,False,False,5040
127,27932,27932,27932,115,427,False,True,5080
128,27929,27929,27929,355,400,False,True,5120
129,27929,27929,27929,91,94,False,False,5160
130,27917,27917,27917,316,358,False,True,5200
131,27917,27917,27917,312,359,False,False,5240
132,27909,27909,27909,442,455,False,True,5280
133,27901,27901,27901,66,268,False,True,5320
134,27892,27892,27892,432,436,False,True,5360
135,27885,27885,27885,411,484,False,True,5400
136,27885,27885,27885,148,169,False,False,5440
137,27890,27885,27890,415,468,False,False,5480
138,27888,27885,27888,385,405,False,False,5520
139,27884,27884,27884,349,362,False,True,5560
140,27876,27876,27876,180,208,False,True,5600
141,27865,27865,27865,233,271,False,True,5640
142,27847,27847,27847,123,138,False,True,5680
143,27843,27843,27843,294,300,False,True,5720
144,27830,27830,27830,328,350,False,True,5760
145,27815,27815,27815,339,352,False,True,5800
146,27814,27814,27814,202,217,False,True,5840
147,27809,27809,27809,398,414,False,True,5880
148,27809,27809,27809,352,353,False,False,5920
149,27809,27809,27809,60,61,False,False,5960
150,27810,27809,27810,129,145,False,False,6000
151,27817,27809,27817,73,278,False,False,6040
152,27819,27809,27819,104,403,False,False,6080
153,27790,27790,27790,343,425,False,True,6120
154,27776,27776,27776,96,417,False,True,6160
155,27749,27749,27749,327,437,False,True,6200
156,27740,27740,27740,416,462,False,True,6240
157,27726,27726,27726,52,101,False,True,6280
158,27744,27726,27744,259,269,False,False,6320
159,27744,27726,27744,19,107,False,False,6360
160,27744,27726,27744,256,260,False,False,6400
161,27744,27726,27744,220,224,False,False,6440
162,27768,27726,27768,5,34,False,False,6480
163,27759,27726,27759,325,338,False,False,6520
164,27759,27726,27759,340,353,False,False,6560
165,27759,27726,27759,207,212,False,False,6600
166,27749,27726,27749,10,16,False,False,6640
167,27749,27726,27749,50,73,False,False,6680
168,27733,27726,27733,32,33,False,False,6720
169,27733,27726,27733,316,322,False,False,6760
170,27733,27726,27733,297,313,False,False,6800
171,27736,27726,27736,468,478,False,False,6840
172,27736,27726,27736,318,327,False,False,6880
173,27729,27726,27729,228,421,False,False,6920
174,27729,27726,27729,160,166,False,False,6960
175,27726,27726,27726,42,107,False,False,7000
176,27724,27724,27724,116,262,False,True,7040
177,27718,27718,27718,34,490,False,True,7080
178,27718,27718,27718,90,107,False,False,7120
179,27709,27709,27709,300,394,False,True,7160
180,27709,27709,27709,163,167,False,False,7200
181,27702,27702,27702,29,111,False,True,7240
182,27675,27675,27675,25,398,False,True,7280
183,27675,27675,27675,374,386,False,False,7320
184,27654,27654,27654,18,198,False,True,7360
185,27673,27654,27673,435,466,False,False,7400
186,27662,27654,27662,432,442,False,False,7440
187,27662,27654,27662,300,328,False,False,7480
188,27664,27654,27664,76,348,False,False,7520
189,27664,27654,27664,147,152,False,False,7560
190,27664,27654,27664,278,291,False,False,7600
191,27664,27654,27664,303,353,False,False,7640
192,27664,27654,27664,178,184,False,False,7680
193,27675,27654,27675,438,457,False,False,7720
194,27653,27653,27653,85,102,False,True,7760
195,27653,27653,27653,359,368,False,False,7800
196,27629,27629,27629,45,404,False,True,7840
197,27629,27629,27629,148,162,False,False,7880
198,27629,27629,27629,159,163,False,False,7920
199,27629,27629,27629,246,262,False,False,7960
200,27629,27629,27629,53,125,False,False,8000
201,27629,27629,27629,90,111,False,False,8040
202,27636,27629,27636,18,264,False,False,8080
203,27628,27628,27628,62,132,False,True,8120
204,27624,27624,27624,241,444,False,True,8160
205,27624,27624,27624,306,382,False,False,8200
206,27608,27608,27608,6,391,False,True,8240
207,27593,27593,27593,181,428,False,True,8280
208,27593,27593,27593,229,237,False,False,8320
209,27586,27586,27586,380,426,False,True,8360
210,27585,27585,27585,39,228,False,True,8400
211,27585,27585,27585,63,135,False,False,8440
