instance,algorithm,cities,mean_initial_length,nearest_neighbor_length,mean_best_length,best_length,mean_improvement_vs_initial_percent,mean_time_s
tsp.001,Simulated Annealing,120,65860.4822513395,11351.407331940125,10017.744049199251,9636.96238137562,84.78509683081487,0.3544101599953137
tsp.001,Tabu Search,120,65860.4822513395,11351.407331940125,12845.814267684447,12245.496641629454,80.4931217648159,0.3550307600060478
tsp.002,Simulated Annealing,120,64044.45817372316,9643.920880737762,10211.733283048448,9758.440227179954,84.05544570635219,0.355871379992459
tsp.002,Tabu Search,120,64044.45817372316,9643.920880737762,12852.574725048606,12535.516850713495,79.92898962123022,0.3320432600099593
tsp.003,Simulated Annealing,120,59365.59772088396,10535.811770924893,10438.640336532446,10040.332591844875,82.39673922265179,0.34417201998876407
tsp.003,Tabu Search,120,59365.59772088396,10535.811770924893,13192.129333668845,12480.813140637169,77.75321816364105,0.3292418799945153
tsp.004,Simulated Annealing,120,58319.38759382418,11191.477643962411,10532.24383914559,10433.326618238254,81.91556279848011,0.37114527999656277
tsp.004,Tabu Search,120,58319.38759382418,11191.477643962411,13181.21817390237,12868.07150940679,77.3685732535245,0.3282164199976251
tsp.005,Simulated Annealing,120,64588.98553562637,10985.866177685515,10355.686500903757,9922.067858245367,83.96641167840204,0.349449879990425
tsp.005,Tabu Search,120,64588.98553562637,10985.866177685515,13614.9380113747,12980.586011952579,78.91462110812265,0.3294135399977677
tsp.006,Simulated Annealing,120,60485.82680341147,10772.861394949143,10215.991884342633,9877.350200561104,83.0815109814307,0.3400213399901986
tsp.006,Tabu Search,120,60485.82680341147,10772.861394949143,12900.084094398338,12102.374416197816,78.64097554156085,0.3266159600112587
tsp.007,Simulated Annealing,120,66058.49784725251,11993.021105959306,10378.356064771153,10121.016577905606,84.27929203619189,0.3601564800017513
tsp.007,Tabu Search,120,66058.49784725251,11993.021105959306,13670.670811913029,13165.71049220101,79.28724366827159,0.3509883600170724
tsp.008,Simulated Annealing,120,62843.050006395766,11615.928487541518,10732.330671116102,10407.217333068307,82.89588848726325,0.34734530000714586
tsp.008,Tabu Search,120,62843.050006395766,11615.928487541518,13165.192423669185,12692.4805345251,79.02148388358088,0.330552220006939
tsp.009,Simulated Annealing,120,62206.02585888456,9346.45363394434,9948.146748033794,9619.043871747977,83.97684930833174,0.34859599999617785
tsp.009,Tabu Search,120,62206.02585888456,9346.45363394434,12474.849025771831,12121.80719159869,79.92547525118283,0.32405415999237447
tsp.010,Simulated Annealing,120,59755.27101679086,11036.884772188996,10510.67578197533,10226.891818119102,82.40037725841064,0.3688568999990821
tsp.010,Tabu Search,120,59755.27101679086,11036.884772188996,12881.154362385048,12487.434579637742,78.43641322764464,0.3408540199976414
