instance,algorithm,cities,initial_length,nearest_neighbor_length,best_length,improvement_vs_initial_percent,difference_vs_nearest_neighbor,objective_evaluations,time_s,seed,accepted_worse
tsp.001,Simulated Annealing,120,64600.966858038184,11351.407331940125,9636.96238137562,85.08232484731533,-1714.4449505645043,20000,0.35447560000466183,3026,1233
tsp.001,Tabu Search,120,64600.966858038184,11351.407331940125,13076.429038097622,79.75815274277036,1725.0217061574967,20000,0.3448285000049509,3026,
tsp.001,Simulated Annealing,120,65272.39946704442,11351.407331940125,9722.76373814345,85.10432615082213,-1628.6435937966744,20000,0.37346819997765124,3027,1266
tsp.001,Tabu Search,120,65272.39946704442,11351.407331940125,12245.496641629454,81.23939560730854,894.0893096893287,20000,0.326349500042852,3027,
tsp.001,Simulated Annealing,120,68357.79236870243,11351.407331940125,9941.585635037809,85.45654373766821,-1409.821696902316,20000,0.3532227000105195,3028,1191
tsp.001,Tabu Search,120,68357.79236870243,11351.407331940125,13233.997805277242,80.64010356873898,1882.5904733371171,20000,0.32656009995844215,3028,
tsp.001,Simulated Annealing,120,64589.63746606834,11351.407331940125,10208.757843749943,84.1944338995353,-1142.6494881901817,20000,0.35680569999385625,3029,1242
tsp.001,Tabu Search,120,64589.63746606834,11351.407331940125,12599.192853008477,80.49347643478049,1247.785521068352,20000,0.30723900004522875,3029,
tsp.001,Simulated Annealing,120,66481.61509684409,11351.407331940125,10578.650647689436,84.08785551873332,-772.7566842506894,20000,0.3340785999898799,3030,1246
tsp.001,Tabu Search,120,66481.61509684409,11351.407331940125,13073.95500040944,80.33448047048113,1722.5476684693149,20000,0.4701766999787651,3030,
tsp.002,Simulated Annealing,120,63008.72832606688,9643.920880737762,10286.341657211004,83.6747353414598,642.4207764732419,20000,0.37468369997804984,4026,1259
tsp.002,Tabu Search,120,63008.72832606688,9643.920880737762,12535.516850713495,80.10511053985591,2891.595969975733,20000,0.32495630002813414,4026,
tsp.002,Simulated Annealing,120,64389.15004559507,9643.920880737762,10051.767954808201,84.38903456919314,407.8470740704397,20000,0.3487785999896005,4027,1256
tsp.002,Tabu Search,120,64389.15004559507,9643.920880737762,13048.729684957254,79.73458311576218,3404.8088042194922,20000,0.3304782999912277,4027,
tsp.002,Simulated Annealing,120,63563.65078499704,9643.920880737762,9758.440227179954,84.64776628361433,114.51934644219182,20000,0.3465626999968663,4028,1197
tsp.002,Tabu Search,120,63563.65078499704,9643.920880737762,13429.136535903262,78.87293072368186,3785.2156551655007,20000,0.34533680003369227,4028,
tsp.002,Simulated Annealing,120,64586.282881712716,9643.920880737762,10693.743952557299,83.44270102655933,1049.8230718195373,20000,0.3642695000162348,4029,1298
tsp.002,Tabu Search,120,64586.282881712716,9643.920880737762,12687.516108438811,80.35571093063909,3043.595227701049,20000,0.326503699994646,4029,
tsp.002,Simulated Annealing,120,64674.47883024411,9643.920880737762,10268.372623485791,84.12299131093434,624.4517427480296,20000,0.3450623999815434,4030,1268
tsp.002,Tabu Search,120,64674.47883024411,9643.920880737762,12561.974445230207,80.57661279621202,2918.0535644924457,20000,0.3329412000020966,4030,
tsp.003,Simulated Annealing,120,57400.20860322356,10535.811770924893,10538.88172724674,81.63964559763832,3.0699563218477124,20000,0.3480342999682762,5026,1277
tsp.003,Tabu Search,120,57400.20860322356,10535.811770924893,13197.337205456626,77.00820689227344,2661.5254345317335,20000,0.3212148000020534,5026,
tsp.003,Simulated Annealing,120,58175.42097698551,10535.811770924893,10189.643381272148,82.48462458861582,-346.16838965274474,20000,0.3502283999696374,5027,1343
