instance,algorithm,iterations,repeat,initial_length,nearest_neighbor_length,best_length,improvement_vs_initial_percent,objective_evaluations,seed
tsp.010,Simulated Annealing,100,1,59029.455964359906,11036.884772188996,56981.573848406144,3.4692545992465313,100,2026
tsp.010,Tabu Search,100,1,59029.455964359906,11036.884772188996,20687.07602545732,64.95465579430798,4000,2026
tsp.010,Simulated Annealing,100,2,59248.525236690824,11036.884772188996,52378.82281157792,11.594723071450737,100,2027
tsp.010,Tabu Search,100,2,59248.525236690824,11036.884772188996,20101.23351736625,66.07302302113983,4000,2027
tsp.010,Simulated Annealing,100,3,56745.26030496608,11036.884772188996,53042.410881790995,6.525389791631694,100,2028
tsp.010,Tabu Search,100,3,56745.26030496608,11036.884772188996,21177.109926168818,62.68038984691114,4000,2028
tsp.010,Simulated Annealing,500,1,59029.455964359906,11036.884772188996,53680.97795886258,9.060693374383398,500,2026
tsp.010,Tabu Search,500,1,59029.455964359906,11036.884772188996,12884.315859400693,78.17307368175672,20000,2026
tsp.010,Simulated Annealing,500,2,59248.525236690824,11036.884772188996,47484.90166458851,19.85471119341457,500,2027
tsp.010,Tabu Search,500,2,59248.525236690824,11036.884772188996,13561.834525188657,77.11025806800974,20000,2027
tsp.010,Simulated Annealing,500,3,56745.26030496608,11036.884772188996,48348.72899852244,14.796885698150222,500,2028
tsp.010,Tabu Search,500,3,56745.26030496608,11036.884772188996,12597.230030278502,77.80038374557242,20000,2028
tsp.010,Simulated Annealing,1000,1,59029.455964359906,11036.884772188996,50091.874352323095,15.140884268750563,1000,2026
tsp.010,Tabu Search,1000,1,59029.455964359906,11036.884772188996,12884.315859400693,78.17307368175672,40000,2026
tsp.010,Simulated Annealing,1000,2,59248.525236690824,11036.884772188996,47484.90166458851,19.85471119341457,1000,2027
tsp.010,Tabu Search,1000,2,59248.525236690824,11036.884772188996,13062.868323043433,77.95241607979469,40000,2027
tsp.010,Simulated Annealing,1000,3,56745.26030496608,11036.884772188996,48348.72899852244,14.796885698150222,1000,2028
tsp.010,Tabu Search,1000,3,56745.26030496608,11036.884772188996,12597.230030278502,77.80038374557242,40000,2028
tsp.010,Simulated Annealing,2000,1,59029.455964359906,11036.884772188996,44291.98891468487,24.96629319872615,2000,2026
tsp.010,Tabu Search,2000,1,59029.455964359906,11036.884772188996,12611.036809021427,78.63602738159138,80000,2026
tsp.010,Simulated Annealing,2000,2,59248.525236690824,11036.884772188996,44049.33577252385,25.653278969304324,2000,2027
tsp.010,Tabu Search,2000,2,59248.525236690824,11036.884772188996,12287.39345143009,79.26126700648933,80000,2027
tsp.010,Simulated Annealing,2000,3,56745.26030496608,11036.884772188996,42848.58018709795,24.48958740022197,2000,2028
tsp.010,Tabu Search,2000,3,56745.26030496608,11036.884772188996,12597.230030278502,77.80038374557242,80000,2028
tsp.010,Simulated Annealing,5000,1,59029.455964359906,11036.884772188996,24834.130151278005,57.92925795170456,5000,2026
tsp.010,Tabu Search,5000,1,59029.455964359906,11036.884772188996,12331.408489176029,79.1097371850736,200000,2026
tsp.010,Simulated Annealing,5000,2,59248.525236690824,11036.884772188996,27385.591274601742,53.77844230687675,5000,2027
tsp.010,Tabu Search,5000,2,59248.525236690824,11036.884772188996,12287.39345143009,79.26126700648933,200000,2027
tsp.010,Simulated Annealing,5000,3,56745.26030496608,11036.884772188996,25215.5003496811,55.56368899505364,5000,2028
tsp.010,Tabu Search,5000,3,56745.26030496608,11036.884772188996,12477.746740653005,78.0109445730025,200000,2028
tsp.010,Simulated Annealing,10000,1,59029.455964359906,11036.884772188996,13092.776675967947,77.81992657382283,10000,2026
tsp.010,Tabu Search,10000,1,59029.455964359906,11036.884772188996,12323.611633470673,79.12294560039436,400000,2026
tsp.010,Simulated Annealing,10000,2,59248.525236690824,11036.884772188996,13152.430528829445,77.80125247626495,10000,2027
tsp.010,Tabu Search,10000,2,59248.525236690824,11036.884772188996,12287.39345143009,79.26126700648933,400000,2027
tsp.010,Simulated Annealing,10000,3,56745.26030496608,11036.884772188996,14139.566648515738,75.08238296462919,10000,2028
tsp.010,Tabu Search,10000,3,56745.26030496608,11036.884772188996,12186.481915534416,78.52422942455352,400000,2028
