iterations,algorithm,mean_initial_length,mean_best_length,best_length,mean_improvement_vs_initial_percent,mean_objective_evaluations,runs
100,Simulated Annealing,58341.08050200561,54134.269180591684,52378.82281157792,7.196455820776321,100.0,3
100,Tabu Search,58341.08050200561,20655.139822997462,20101.23351736625,64.56935622078632,4000.0,3
500,Simulated Annealing,58341.08050200561,49838.202873991184,47484.90166458851,14.570763421982731,500.0,3
500,Tabu Search,58341.08050200561,13014.460138289285,12597.230030278502,77.69457183177963,20000.0,3
1000,Simulated Annealing,58341.08050200561,48641.83500514468,47484.90166458851,16.597493720105117,1000.0,3
1000,Tabu Search,58341.08050200561,12848.138070907544,12597.230030278502,77.97529116904127,40000.0,3
2000,Simulated Annealing,58341.08050200561,43729.96829143556,42848.58018709795,25.036386522750814,2000.0,3
2000,Tabu Search,58341.08050200561,12498.553430243339,12287.39345143009,78.56589271121771,80000.0,3
5000,Simulated Annealing,58341.08050200561,25811.740591853613,24834.130151278005,55.75712975121164,5000.0,3
5000,Tabu Search,58341.08050200561,12365.516227086375,12287.39345143009,78.79398292152182,200000.0,3
10000,Simulated Annealing,58341.08050200561,13461.59128443771,13092.776675967947,76.90118733823898,10000.0,3
10000,Tabu Search,58341.08050200561,12265.82900014506,12186.481915534416,78.96948067714574,400000.0,3
