iteration,objective_evaluations,current_length,best_length,candidate_length,delta,temperature,accepted,accepted_worse
1,1,64586.03987367556,64586.03987367556,64586.03987367556,-14.926984362624637,1000.0,True,False
2,2,64725.90754728924,64586.03987367556,64725.90754728924,139.86767361367825,999.5,True,True
3,3,64792.48500153588,64586.03987367556,64792.48500153588,66.57745424664358,999.0002500000002,True,True
4,4,64503.84898993049,64503.84898993049,64503.84898993049,-288.63601160539116,998.5007498750001,True,False
5,5,64538.78778474079,64503.84898993049,64538.78778474079,34.93879481029654,998.0014995000627,True,True
6,6,63880.822452140834,63880.822452140834,63880.822452140834,-657.9653325999561,997.5024987503127,True,False
7,7,63931.23093385219,63880.822452140834,63931.23093385219,50.40848171135457,997.0037475009377,True,True
8,8,63931.23093385219,63880.822452140834,64202.542751309506,271.3118174573186,996.5052456271873,False,False
9,9,63876.585354508825,63876.585354508825,63876.585354508825,-54.64557934336507,996.0069930043737,True,False
10,10,63911.84183403083,63876.585354508825,63911.84183403083,35.25647952200245,995.5089895078715,True,True
11,11,63424.88321191447,63424.88321191447,63424.88321191447,-486.95862211635335,995.0112350131177,True,False
12,12,63243.898964059765,63243.898964059765,63243.898964059765,-180.9842478547091,994.5137293956112,True,False
13,13,62967.51296917993,62967.51296917993,62967.51296917993,-276.3859948798347,994.0164725309135,True,False
14,14,63054.94174348438,62967.51296917993,63054.94174348438,87.42877430444791,993.519464294648,True,True
15,15,63054.94174348438,62967.51296917993,63404.02608544584,349.08434196146163,993.0227045625007,False,False
16,16,63183.4629414308,62967.51296917993,63183.4629414308,128.52119794642257,992.5261932102195,True,True
17,17,63183.72827096179,62967.51296917993,63183.72827096179,0.2653295309883106,992.0299301136145,True,True
18,18,62665.372665322,62665.372665322,62665.372665322,-518.3556056397864,991.5339151485578,True,False
19,19,62600.41980085144,62600.41980085144,62600.41980085144,-64.95286447055624,991.0381481909835,True,False
20,20,62600.41980085144,62600.41980085144,62913.61385787209,313.1940570206508,990.5426291168881,False,False
21,21,62639.05585262867,62600.41980085144,62639.05585262867,38.63605177722724,990.0473578023297,True,True
22,22,62639.05585262867,62600.41980085144,62890.58434470972,251.52849208105283,989.5523341234285,False,False
23,23,62905.466335781,62600.41980085144,62905.466335781,266.4104831523321,989.057557956367,True,True
24,24,62595.8611426207,62595.8611426207,62595.8611426207,-309.6051931602979,988.5630291773888,True,False
25,25,62606.94099712016,62595.8611426207,62606.94099712016,11.07985449945852,988.0687476628002,True,True
26,26,61727.94450330926,61727.94450330926,61727.94450330926,-878.9964938108947,987.5747132889688,True,False
27,27,61704.874533961294,61704.874533961294,61704.874533961294,-23.06996934796689,987.0809259323244,True,False
28,28,61791.554694644896,61704.874533961294,61791.554694644896,86.68016068360373,986.5873854693583,True,True
29,29,61741.90881818395,61704.874533961294,61741.90881818395,-49.6458764609487,986.0940917766237,True,False
30,30,61762.55114599866,61704.874533961294,61762.55114599866,20.64232781471128,985.6010447307355,True,True
31,31,61620.49820504229,61620.49820504229,61620.49820504229,-142.05294095636566,985.10824420837,True,False
32,32,61713.61614832624,61620.49820504229,61713.61614832624,93.11794328394978,984.6156900862659,True,True
33,33,61352.730488705216,61352.730488705216,61352.730488705216,-360.88565962102484,984.1233822412229,True,False
34,34,61321.543718048895,61321.543718048895,61321.543718048895,-31.18677065631971,983.6313205501023,True,False
35,35,61522.22896009957,61321.543718048895,61522.22896009957,200.68524205067303,983.1395048898273,True,True
36,36,61522.22896009957,61321.543718048895,63007.344447766984,1485.1154876674132,982.6479351373824,False,False
37,37,61092.62554951495,61092.62554951495,61092.62554951495,-429.60341058461563,982.1566111698138,True,False
38,38,61092.62554951495,61092.62554951495,61767.81948515351,675.1939356385526,981.665532864229,False,False
39,39,61524.42736900637,61092.62554951495,61524.42736900637,431.8018194914208,981.174700097797,True,True
40,40,62260.259759310706,61092.62554951495,62260.259759310706,735.8323903043351,980.684112747748,True,True
41,41,62516.38197434051,61092.62554951495,62516.38197434051,256.1222150298089,980.1937706913743,True,True
42,42,62538.8967402111,61092.62554951495,62538.8967402111,22.514765870592555,979.7036738060286,True,True
43,43,62402.4743716495,61092.62554951495,62402.4743716495,-136.42236856159815,979.2138219691257,True,False
44,44,62372.086125033886,61092.62554951495,62372.086125033886,-30.388246615611365,978.7242150581411,True,False
45,45,62372.086125033886,61092.62554951495,62809.0911050775,437.00498004361816,978.2348529506121,False,False
46,46,61850.54396883428,61092.62554951495,61850.54396883428,-521.5421561996037,977.7457355241369,True,False
47,47,61501.67390647103,61092.62554951495,61501.67390647103,-348.87006236325414,977.2568626563749,True,False
48,48,61477.783847710874,61092.62554951495,61477.783847710874,-23.890058760154034,976.7682342250467,True,False
49,49,61477.783847710874,61092.62554951495,61773.12456485134,295.34071714047,976.2798501079343,False,False
50,50,61047.33760447565,61047.33760447565,61047.33760447565,-430.4462432352264,975.7917101828804,True,False
51,51,60659.49877878896,60659.49877878896,60659.49877878896,-387.83882568669196,975.3038143277889,True,False
52,52,60612.49377156551,60612.49377156551,60612.49377156551,-47.00500722345009,974.8161624206251,True,False
53,53,60524.10040881822,60524.10040881822,60524.10040881822,-88.3933627472876,974.3287543394149,True,False
54,54,60105.037325430596,60105.037325430596,60105.037325430596,-419.06308338763074,973.8415899622453,True,False
55,55,60105.037325430596,60105.037325430596,60312.290696666074,207.25337123547467,973.3546691672641,False,False
56,56,59982.20810839713,59982.20810839713,59982.20810839713,-122.82921703346918,972.8679918326806,True,False
57,57,60084.646977261305,59982.20810839713,60084.646977261305,102.43886886418005,972.3815578367643,True,True
58,58,60153.46152898855,59982.20810839713,60153.46152898855,68.8145517272443,971.895367057846,True,True
59,59,59897.47107298274,59897.47107298274,59897.47107298274,-255.99045600580803,971.409419374317,True,False
60,60,60722.33605598762,59897.47107298274,60722.33605598762,824.8649830048747,970.92371466463,True,True
61,61,61223.47185046579,59897.47107298274,61223.47185046579,501.13579447817295,970.4382528072977,True,True
62,62,61223.47185046579,59897.47107298274,61522.5142303768,299.0423799110141,969.9530336808941,False,False
63,63,61216.55480816482,59897.47107298274,61216.55480816482,-6.917042300963203,969.4680571640537,True,False
64,64,60913.600825988375,59897.47107298274,60913.600825988375,-302.9539821764498,968.9833231354718,True,False
65,65,60904.871875044955,59897.47107298274,60904.871875044955,-8.728950943418113,968.498831473904,True,False
66,66,60904.871875044955,59897.47107298274,62051.51078685104,1146.6389118060797,968.0145820581672,False,False
67,67,61303.233498162605,59897.47107298274,61303.233498162605,398.3616231176509,967.5305747671381,True,True
68,68,60827.224890127436,59897.47107298274,60827.224890127436,-476.0086080351664,967.0468094797546,True,False
69,69,60827.224890127436,59897.47107298274,61085.07994699819,257.85505687074885,966.5632860750147,False,False
70,70,60721.36982996625,59897.47107298274,60721.36982996625,-105.85506016118657,966.0800044319773,True,False
71,71,60721.36982996625,59897.47107298274,61224.730659057095,503.36082909084234,965.5969644297614,False,False
72,72,59959.695135297465,59897.47107298274,59959.695135297465,-761.6746946687867,965.1141659475467,True,False
73,73,59764.39949125123,59764.39949125123,59764.39949125123,-195.29564404623807,964.6316088645729,True,False
74,74,59873.62889690166,59764.39949125123,59873.62889690166,109.2294056504345,964.1492930601406,True,True
75,75,60316.07602871173,59764.39949125123,60316.07602871173,442.4471318100673,963.6672184136106,True,True
76,76,60273.908013004926,59764.39949125123,60273.908013004926,-42.16801570680502,963.1853848044038,True,False
77,77,60273.908013004926,59764.39949125123,60729.76131663698,455.8533036320518,962.7037921120018,False,False
78,78,60036.4587962606,59764.39949125123,60036.4587962606,-237.44921674432743,962.2224402159458,True,False
79,79,60177.45861042189,59764.39949125123,60177.45861042189,140.99981416129003,961.7413289958379,True,True
80,80,60218.1439583699,59764.39949125123,60218.1439583699,40.68534794801576,961.26045833134,True,True
81,81,60312.9156776277,59764.39949125123,60312.9156776277,94.77171925780021,960.7798281021743,True,True
82,82,60584.788974295676,59764.39949125123,60584.788974295676,271.8732966679747,960.2994381881233,True,True
83,83,60260.88729023952,59764.39949125123,60260.88729023952,-323.90168405615293,959.8192884690293,True,False
84,84,60124.46758597014,59764.39949125123,60124.46758597014,-136.41970426938678,959.3393788247948,True,False
85,85,60093.634515867416,59764.39949125123,60093.634515867416,-30.833070102720058,958.8597091353826,True,False
86,86,60453.326727296444,59764.39949125123,60453.326727296444,359.69221142902904,958.3802792808148,True,True
87,87,60319.07406685028,59764.39949125123,60319.07406685028,-134.25266044616973,957.9010891411746,True,False
88,88,60324.81451866268,59764.39949125123,60324.81451866268,5.740451812400238,957.422138596604,True,True
89,89,60729.92809095435,59764.39949125123,60729.92809095435,405.11357229167254,956.9434275273057,True,True
90,90,61099.98406249888,59764.39949125123,61099.98406249888,370.0559715445252,956.464955813542,True,True
91,91,61808.81835672272,59764.39949125123,61808.81835672272,708.8342942238344,955.9867233356354,True,True
92,92,61844.12788457172,59764.39949125123,61844.12788457172,35.30952784900046,955.5087299739677,True,True
93,93,60922.829166992866,59764.39949125123,60922.829166992866,-921.2987175788521,955.0309756089807,True,False
94,94,60922.829166992866,59764.39949125123,61424.05030171741,501.221134724544,954.5534601211763,False,False
95,95,60849.84861123212,59764.39949125123,60849.84861123212,-72.98055576074819,954.0761833911158,True,False
96,96,60849.84861123212,59764.39949125123,61572.39023679895,722.541625566829,953.5991452994202,False,False
97,97,60193.243633616294,59764.39949125123,60193.243633616294,-656.6049776158253,953.1223457267706,True,False
98,98,59970.78799455424,59764.39949125123,59970.78799455424,-222.45563906205632,952.6457845539072,True,False
99,99,59970.78799455424,59764.39949125123,60201.424109272666,230.63611471843092,952.1694616616303,False,False
100,100,59970.78799455424,59764.39949125123,60416.1929538643,445.40495931006575,951.6933769307996,False,False
101,101,60060.438905121424,59764.39949125123,60060.438905121424,89.65091056719018,951.2175302423342,True,True
102,102,60105.713036286135,59764.39949125123,60105.713036286135,45.2741311647103,950.7419214772132,True,True
103,103,59636.29394479259,59636.29394479259,59636.29394479259,-469.4190914935477,950.2665505164746,True,False
104,104,59999.63846632385,59636.29394479259,59999.63846632385,363.3445215312619,949.7914172412164,True,True
105,105,60254.17250396478,59636.29394479259,60254.17250396478,254.53403764092639,949.3165215325959,True,True
106,106,60107.004478088784,59636.29394479259,60107.004478088784,-147.16802587599204,948.8418632718297,True,False
107,107,60307.61193232861,59636.29394479259,60307.61193232861,200.60745423982746,948.3674423401936,True,True
108,108,60493.18965368258,59636.29394479259,60493.18965368258,185.57772135397295,947.8932586190236,True,True
109,109,60493.18965368258,59636.29394479259,61443.775616775725,950.5859630931443,947.4193119897142,False,False
110,110,60515.49271765435,59636.29394479259,60515.49271765435,22.303063971766107,946.9456023337194,True,True
111,111,60538.16184866244,59636.29394479259,60538.16184866244,22.669131008092734,946.4721295325526,True,True
112,112,60482.0513165685,59636.29394479259,60482.0513165685,-56.11053209394271,945.9988934677863,True,False
113,113,60587.16893918551,59636.29394479259,60587.16893918551,105.11762261701415,945.5258940210525,True,True
114,114,60223.82441765425,59636.29394479259,60223.82441765425,-363.3445215312619,945.0531310740421,True,False
115,115,59778.80122915477,59636.29394479259,59778.80122915477,-445.02318849948165,944.5806045085051,True,False
116,116,59163.22803608703,59163.22803608703,59163.22803608703,-615.5731930677396,944.1083142062508,True,False
117,117,59328.23374132759,59163.22803608703,59328.23374132759,165.00570524055922,943.6362600491478,True,True
118,118,59280.70558336265,59163.22803608703,59280.70558336265,-47.528157964935474,943.1644419191233,True,False
119,119,59246.09399230776,59163.22803608703,59246.09399230776,-34.61159105489139,942.6928596981637,True,False
120,120,59365.04814556782,59163.22803608703,59365.04814556782,118.95415326005434,942.2215132683148,True,True
121,121,59373.954105337274,59163.22803608703,59373.954105337274,8.905959769455762,941.7504025116806,True,True
122,122,59373.954105337274,59163.22803608703,60354.22795238914,980.273847051864,941.2795273104249,False,False
123,123,59373.954105337274,59163.22803608703,59984.906803943915,610.9526986066446,940.8088875467697,False,False
124,124,59373.954105337274,59163.22803608703,59761.67909213522,387.724986797949,940.3384831029964,False,False
125,125,58592.69769233664,58592.69769233664,58592.69769233664,-781.2564130006323,939.8683138614449,True,False
126,126,58526.28517796572,58526.28517796572,58526.28517796572,-66.41251437091512,939.3983797045142,True,False
127,127,59393.35022063479,58526.28517796572,59393.35022063479,867.0650426690695,938.928680514662,True,True
128,128,59172.69769730772,58526.28517796572,59172.69769730772,-220.65252332707084,938.4592161744048,True,False
129,129,58646.06780090763,58526.28517796572,58646.06780090763,-526.6298964000898,937.9899865663176,True,False
130,130,58548.04224740775,58526.28517796572,58548.04224740775,-98.02555349988063,937.5209915730345,True,False
131,131,58805.50796677521,58526.28517796572,58805.50796677521,257.46571936745437,937.052231077248,True,True
132,132,58802.53135226914,58526.28517796572,58802.53135226914,-2.9766145060629015,936.5837049617095,True,False
133,133,58257.79934709706,58257.79934709706,58257.79934709706,-544.7320051720808,936.1154131092286,True,False
134,134,58257.79934709706,58257.79934709706,58679.67671959919,421.87737250212854,935.6473554026741,False,False
135,135,58321.40078419253,58257.79934709706,58321.40078419253,63.60143709546878,935.1795317249728,True,True
136,136,58888.43806220218,58257.79934709706,58888.43806220218,567.0372780096529,934.7119419591104,True,True
137,137,58761.427371241305,58257.79934709706,58761.427371241305,-127.01069096087338,934.2445859881309,True,False
138,138,59017.863834044045,58257.79934709706,59017.863834044045,256.43646280273674,933.7774636951368,True,True
139,139,59024.544533131244,58257.79934709706,59024.544533131244,6.6806990871986045,933.3105749632892,True,True
140,140,59111.82965616096,58257.79934709706,59111.82965616096,87.28512302971615,932.8439196758077,True,True
141,141,59111.82965616096,58257.79934709706,59567.395049729705,455.56539356874373,932.3774977159699,False,False
142,142,58555.091488775026,58257.79934709706,58555.091488775026,-556.7381673859375,931.911308967112,True,False
143,143,59004.94778063072,58257.79934709706,59004.94778063072,449.85629185569064,931.4453533126284,True,True
144,144,59004.94778063072,58257.79934709706,60409.8483865299,1404.9006058991772,930.9796306359722,False,False
145,145,58666.00466915624,58257.79934709706,58666.00466915624,-338.94311147448116,930.5141408206543,True,False
146,146,58651.637668426825,58257.79934709706,58651.637668426825,-14.367000729411643,930.0488837502439,True,False
147,147,59319.0394445213,58257.79934709706,59319.0394445213,667.4017760944761,929.5838593083689,True,True
148,148,58873.67476330949,58257.79934709706,58873.67476330949,-445.3646812118066,929.1190673787147,True,False
149,149,58902.26911978134,58257.79934709706,58902.26911978134,28.59435647184671,928.6545078450255,True,True
150,150,58661.11791363553,58257.79934709706,58661.11791363553,-241.15120614581497,928.1901805911031,True,False
151,151,58366.28888863467,58257.79934709706,58366.28888863467,-294.82902500085714,927.7260855008075,True,False
152,152,57831.56254874515,57831.56254874515,57831.56254874515,-534.7263398895248,927.2622224580571,True,False
153,153,58497.75331494802,57831.56254874515,58497.75331494802,666.1907662028776,926.7985913468282,True,True
154,154,58497.75331494802,57831.56254874515,59085.738934340974,587.98561939295,926.3351920511548,False,False
155,155,58453.467327193976,57831.56254874515,58453.467327193976,-44.28598775404964,925.8720244551292,True,False
156,156,58451.90749097342,57831.56254874515,58451.90749097342,-1.5598362205597596,925.4090884429019,True,False
157,157,57910.10307686956,57831.56254874515,57910.10307686956,-541.8044141038616,924.9463838986803,True,False
158,158,57420.41489548387,57420.41489548387,57420.41489548387,-489.6881813856895,924.4839107067311,True,False
159,159,57464.79134364939,57420.41489548387,57464.79134364939,44.37644816552515,924.0216687513778,True,True
160,160,57340.92174655873,57340.92174655873,57340.92174655873,-123.8695970906598,923.5596579170021,True,False
161,161,57426.63004182194,57340.92174655873,57426.63004182194,85.70829526321137,923.0978780880437,True,True
162,162,57426.63004182194,57340.92174655873,57579.289721558904,152.6596797369608,922.6363291489997,False,False
163,163,57881.25475121983,57340.92174655873,57881.25475121983,454.6247093978901,922.1750109844252,True,True
164,164,57652.53263658748,57340.92174655873,57652.53263658748,-228.72211463234748,921.7139234789331,True,False
165,165,57652.53263658748,57340.92174655873,57843.89507197627,191.36243538879222,921.2530665171936,False,False
166,166,57650.35823604829,57340.92174655873,57650.35823604829,-2.174400539187218,920.7924399839351,True,False
167,167,58402.63334768918,57340.92174655873,58402.63334768918,752.2751116408888,920.3320437639431,True,True
168,168,59193.76240333299,57340.92174655873,59193.76240333299,791.129055643808,919.8718777420612,True,True
169,169,59194.05786473601,57340.92174655873,59194.05786473601,0.2954614030169296,919.4119418031903,True,True
170,170,59493.27709134546,57340.92174655873,59493.27709134546,299.2192266094479,918.9522358322888,True,True
