iteration,objective_evaluations,current_length,best_length,candidate_length,delta,tabu_used,improved_best
1,40,63462.93150719583,63462.93150719583,63462.93150719583,-1138.0353508423525,False,True
2,80,62713.36250442637,62713.36250442637,62713.36250442637,-749.5690027694657,False,True
3,120,61063.72351549526,61063.72351549526,61063.72351549526,-1649.6389889311115,False,True
4,160,59976.48574381321,59976.48574381321,59976.48574381321,-1087.2377716820502,False,True
5,200,59398.109913232176,59398.109913232176,59398.109913232176,-578.3758305810335,False,True
6,240,58144.37863042183,58144.37863042183,58144.37863042183,-1253.7312828103456,False,True
7,280,56671.433164801536,56671.433164801536,56671.433164801536,-1472.9454656202972,False,True
8,320,55981.95759866346,55981.95759866346,55981.95759866346,-689.4755661380797,False,True
9,360,55191.101470721216,55191.101470721216,55191.101470721216,-790.8561279422424,False,True
10,400,54259.64806066652,54259.64806066652,54259.64806066652,-931.4534100546937,False,True
11,440,53786.41595739826,53786.41595739826,53786.41595739826,-473.23210326826165,False,True
12,480,53065.98580086049,53065.98580086049,53065.98580086049,-720.4301565377714,False,True
13,520,52319.77739574616,52319.77739574616,52319.77739574616,-746.2084051143285,False,True
14,560,51388.759871225746,51388.759871225746,51388.759871225746,-931.017524520415,False,True
15,600,50430.158308051236,50430.158308051236,50430.158308051236,-958.6015631745097,False,True
16,640,49789.3129293596,49789.3129293596,49789.3129293596,-640.8453786916355,False,True
17,680,49035.21605700547,49035.21605700547,49035.21605700547,-754.0968723541325,False,True
18,720,48199.09464724838,48199.09464724838,48199.09464724838,-836.1214097570955,False,True
19,760,47523.689717673784,47523.689717673784,47523.689717673784,-675.4049295745957,False,True
20,800,47120.83790244977,47120.83790244977,47120.83790244977,-402.85181522401206,False,True
21,840,46462.698950287835,46462.698950287835,46462.698950287835,-658.1389521619359,False,True
22,880,45650.208782076785,45650.208782076785,45650.208782076785,-812.4901682110528,False,True
23,920,45163.10688667765,45163.10688667765,45163.10688667765,-487.10189539913966,False,True
24,960,44858.66738353116,44858.66738353116,44858.66738353116,-304.4395031464899,False,True
25,1000,44646.597489580774,44646.597489580774,44646.597489580774,-212.0698939503872,False,True
26,1040,43802.482441033615,43802.482441033615,43802.482441033615,-844.1150485471603,False,True
27,1080,43024.46105295442,43024.46105295442,43024.46105295442,-778.0213880791933,False,True
28,1120,42734.248414818205,42734.248414818205,42734.248414818205,-290.21263813621806,False,True
29,1160,41986.561423888095,41986.561423888095,41986.561423888095,-747.6869909301088,False,True
30,1200,41255.53835992719,41255.53835992719,41255.53835992719,-731.0230639609097,False,True
31,1240,40777.367701117575,40777.367701117575,40777.367701117575,-478.1706588096154,False,True
32,1280,40521.228339342444,40521.228339342444,40521.228339342444,-256.1393617751322,False,True
33,1320,40316.64229391168,40316.64229391168,40316.64229391168,-204.58604543076217,False,True
34,1360,39851.63145221875,39851.63145221875,39851.63145221875,-465.01084169292835,False,True
35,1400,39044.99603437169,39044.99603437169,39044.99603437169,-806.6354178470611,False,True
36,1440,38504.677528865366,38504.677528865366,38504.677528865366,-540.3185055063203,False,True
37,1480,37952.92393377195,37952.92393377195,37952.92393377195,-551.7535950934196,False,True
38,1520,37382.97897269358,37382.97897269358,37382.97897269358,-569.9449610783684,False,True
39,1560,37194.082967648465,37194.082967648465,37194.082967648465,-188.89600504511031,False,True
40,1600,36759.57421995831,36759.57421995831,36759.57421995831,-434.5087476901507,False,True
41,1640,36479.46687423253,36479.46687423253,36479.46687423253,-280.10734572577974,False,True
42,1680,36195.573550738605,36195.573550738605,36195.573550738605,-283.8933234939268,False,True
43,1720,35809.713127245406,35809.713127245406,35809.713127245406,-385.86042349320223,False,True
44,1760,35141.404975746605,35141.404975746605,35141.404975746605,-668.3081514987983,False,True
45,1800,34507.509927478815,34507.509927478815,34507.509927478815,-633.8950482677928,False,True
46,1840,33939.290648980896,33939.290648980896,33939.290648980896,-568.2192784979192,False,True
47,1880,33511.22342694167,33511.22342694167,33511.22342694167,-428.06722203922334,False,True
48,1920,32968.694759363585,32968.694759363585,32968.694759363585,-542.5286675780859,False,True
49,1960,32593.74139713038,32593.74139713038,32593.74139713038,-374.95336223320646,False,True
50,2000,32281.987383793225,32281.987383793225,32281.987383793225,-311.754013337154,False,True
51,2040,32198.713945221363,32198.713945221363,32198.713945221363,-83.27343857186173,False,True
52,2080,31855.878519042126,31855.878519042126,31855.878519042126,-342.83542617923626,False,True
53,2120,31736.381168672957,31736.381168672957,31736.381168672957,-119.49735036916724,False,True
54,2160,31139.77522441408,31139.77522441408,31139.77522441408,-596.605944258879,False,True
55,2200,30813.57330752892,30813.57330752892,30813.57330752892,-326.20191688515706,False,True
56,2240,30494.482418758565,30494.482418758565,30494.482418758565,-319.09088877035447,False,True
57,2280,30230.610834894487,30230.610834894487,30230.610834894487,-263.8715838640794,False,True
58,2320,30084.19671182359,30084.19671182359,30084.19671182359,-146.41412307089377,False,True
59,2360,29921.578872758844,29921.578872758844,29921.578872758844,-162.617839064747,False,True
60,2400,29751.25818600936,29751.25818600936,29751.25818600936,-170.32068674948553,False,True
61,2440,29695.908823388803,29695.908823388803,29695.908823388803,-55.349362620557116,False,True
62,2480,29679.227918080043,29679.227918080043,29679.227918080043,-16.68090530876114,False,True
63,2520,29521.899181280685,29521.899181280685,29521.899181280685,-157.3287367993571,False,True
64,2560,29379.354312570056,29379.354312570056,29379.354312570056,-142.54486871062943,False,True
65,2600,29222.283959157965,29222.283959157965,29222.283959157965,-157.07035341209235,False,True
66,2640,29074.11598760741,29074.11598760741,29074.11598760741,-148.1679715505576,False,True
67,2680,28518.553700440763,28518.553700440763,28518.553700440763,-555.5622871666444,False,True
68,2720,27883.832070881297,27883.832070881297,27883.832070881297,-634.7216295594645,False,True
69,2760,27444.389218581295,27444.389218581295,27444.389218581295,-439.44285230000224,False,True
70,2800,27264.1914925373,27264.1914925373,27264.1914925373,-180.19772604399532,False,True
71,2840,27155.004561392445,27155.004561392445,27155.004561392445,-109.18693114485183,False,True
72,2880,27085.971261034498,27085.971261034498,27085.971261034498,-69.03330035794875,False,True
73,2920,27084.8245094808,27084.8245094808,27084.8245094808,-1.1467515536955943,False,True
74,2960,26940.23800164936,26940.23800164936,26940.23800164936,-144.58650783144336,False,True
75,3000,26901.95281265597,26901.95281265597,26901.95281265597,-38.28518899338661,False,True
76,3040,26430.49553061923,26430.49553061923,26430.49553061923,-471.457282036739,False,True
77,3080,26145.073899390627,26145.073899390627,26145.073899390627,-285.4216312286045,False,True
78,3120,26071.236230687387,26071.236230687387,26071.236230687387,-73.83766870323996,False,True
79,3160,25824.62761591984,25824.62761591984,25824.62761591984,-246.60861476754715,False,True
80,3200,25594.87568619876,25594.87568619876,25594.87568619876,-229.75192972107766,False,True
81,3240,25399.975577638827,25399.975577638827,25399.975577638827,-194.90010855993563,False,True
82,3280,25169.21426466391,25169.21426466391,25169.21426466391,-230.76131297491628,False,True
83,3320,25004.41263919077,25004.41263919077,25004.41263919077,-164.80162547313972,False,True
84,3360,24838.166998105135,24838.166998105135,24838.166998105135,-166.24564108563624,False,True
85,3400,24719.608068127647,24719.608068127647,24719.608068127647,-118.55892997748711,False,True
86,3440,24578.97879554294,24578.97879554294,24578.97879554294,-140.6292725847087,False,True
87,3480,24430.381125104817,24430.381125104817,24430.381125104817,-148.59767043812087,False,True
88,3520,24164.008749520024,24164.008749520024,24164.008749520024,-266.37237558479217,False,True
89,3560,24085.94082134194,24085.94082134194,24085.94082134194,-78.06792817808281,False,True
90,3600,23954.47884673301,23954.47884673301,23954.47884673301,-131.4619746089299,False,True
91,3640,23855.945378001074,23855.945378001074,23855.945378001074,-98.53346873193553,False,True
92,3680,23786.534721408974,23786.534721408974,23786.534721408974,-69.41065659210012,False,True
93,3720,23381.13514964755,23381.13514964755,23381.13514964755,-405.3995717614247,False,True
94,3760,22999.771657867674,22999.771657867674,22999.771657867674,-381.3634917798772,False,True
95,3800,22533.386748492172,22533.386748492172,22533.386748492172,-466.38490937550273,False,True
96,3840,22355.771610102915,22355.771610102915,22355.771610102915,-177.61513838925762,False,True
97,3880,22283.731403042253,22283.731403042253,22283.731403042253,-72.04020706065995,False,True
98,3920,22242.776685158697,22242.776685158697,22242.776685158697,-40.95471788355775,False,True
99,3960,22221.641549349424,22221.641549349424,22221.641549349424,-21.135135809274175,False,True
100,4000,22077.67017302032,22077.67017302032,22077.67017302032,-143.97137632910443,False,True
101,4040,22104.08813705279,22077.67017302032,22104.08813705279,26.417964032470394,False,False
102,4080,21957.701224087763,21957.701224087763,21957.701224087763,-146.3869129650255,False,True
103,4120,21952.400033670827,21952.400033670827,21952.400033670827,-5.301190416934787,False,True
104,4160,21681.61753244138,21681.61753244138,21681.61753244138,-270.782501229446,False,True
105,4200,21434.13692761769,21434.13692761769,21434.13692761769,-247.4806048236947,False,True
106,4240,21441.157554285193,21434.13692761769,21441.157554285193,7.0206266675047715,False,False
107,4280,21163.818031662693,21163.818031662693,21163.818031662693,-277.339522622501,False,True
108,4320,20816.042432256847,20816.042432256847,20816.042432256847,-347.77559940584706,False,True
109,4360,20692.170462781454,20692.170462781454,20692.170462781454,-123.87196947539087,False,True
110,4400,20516.7611352164,20516.7611352164,20516.7611352164,-175.40932756505555,False,True
111,4440,20377.616530490828,20377.616530490828,20377.616530490828,-139.14460472557138,False,True
112,4480,20277.7518780138,20277.7518780138,20277.7518780138,-99.86465247702776,False,True
113,4520,20213.64577491885,20213.64577491885,20213.64577491885,-64.10610309495235,False,True
114,4560,20248.086096809366,20213.64577491885,20248.086096809366,34.44032189051717,False,False
115,4600,20111.23984431127,20111.23984431127,20111.23984431127,-136.84625249809764,False,True
116,4640,19815.2091334981,19815.2091334981,19815.2091334981,-296.03071081316835,False,True
117,4680,19611.406991915672,19611.406991915672,19611.406991915672,-203.80214158242893,False,True
118,4720,19376.66418530189,19376.66418530189,19376.66418530189,-234.74280661378316,False,True
119,4760,19343.537995304785,19343.537995304785,19343.537995304785,-33.12618999710339,False,True
120,4800,19157.789211213767,19157.789211213767,19157.789211213767,-185.74878409101646,False,True
121,4840,19163.709045807966,19157.789211213767,19163.709045807966,5.919834594197027,False,False
122,4880,19303.898873609545,19157.789211213767,19303.898873609545,140.18982780157808,False,False
123,4920,19126.62925289124,19126.62925289124,19126.62925289124,-177.26962071830172,False,True
124,4960,19268.3218915585,19126.62925289124,19268.3218915585,141.6926386672559,False,False
125,5000,18982.70571558492,18982.70571558492,18982.70571558492,-285.6161759735779,False,True
126,5040,18829.166120606686,18829.166120606686,18829.166120606686,-153.53959497823578,False,True
127,5080,18834.43110776955,18829.166120606686,18834.43110776955,5.264987162862212,False,False
128,5120,18856.752732769757,18829.166120606686,18856.752732769757,22.321625000206325,False,False
129,5160,18725.70070011895,18725.70070011895,18725.70070011895,-131.0520326508094,False,True
130,5200,18496.542506001053,18496.542506001053,18496.542506001053,-229.15819411789516,False,True
131,5240,18669.153012332252,18496.542506001053,18669.153012332252,172.61050633119925,False,False
132,5280,18521.418867105192,18496.542506001053,18521.418867105192,-147.73414522705906,False,False
133,5320,18507.44742672013,18496.542506001053,18507.44742672013,-13.971440385062408,False,False
134,5360,18357.977443462838,18357.977443462838,18357.977443462838,-149.46998325729075,False,True
135,5400,18216.33881948487,18216.33881948487,18216.33881948487,-141.63862397796697,False,True
136,5440,18245.744681081822,18216.33881948487,18245.744681081822,29.40586159695289,False,False
137,5480,18188.829946727903,18188.829946727903,18188.829946727903,-56.91473435392018,False,True
138,5520,18233.26393240916,18188.829946727903,18233.26393240916,44.43398568125906,False,False
139,5560,18239.168072079916,18188.829946727903,18239.168072079916,5.9041396707550575,False,False
140,5600,18093.78134135806,18093.78134135806,18093.78134135806,-145.3867307218578,False,True
141,5640,18062.169811556712,18062.169811556712,18062.169811556712,-31.611529801346293,False,True
142,5680,18119.213378904024,18062.169811556712,18119.213378904024,57.04356734731115,False,False
143,5720,18062.469459508513,18062.169811556712,18062.469459508513,-56.74391939550975,False,False
144,5760,18018.035473827254,18018.035473827254,18018.035473827254,-44.43398568125903,True,True
145,5800,18024.128069163457,18018.035473827254,18024.128069163457,6.092595336201441,False,False
