instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.001,20,5,1286,1286,1286,1286,0,0.0,0.030033999995794147,0.20434589999786112,276,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.01903440000023693,1.6400008462369442e-05,282,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.019284599999082275,1.379998866468668e-05,248,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.018943200004287064,1.5599987818859518e-05,256,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1155,-4,0.3451251078515962,0.019635699994978495,1.6099991626106203e-05,248,3123,16 3 7 20 2 5 14 10 19 12 9 13 1 11 18 4 17 8 15 6,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1147,-12,1.0353753235547887,0.019882599997799844,1.4499993994832039e-05,260,3124,16 3 18 20 7 1 12 10 5 17 9 4 14 19 11 15 13 2 8 6,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1325,0,0.0,0.019428699990385212,1.5199999324977398e-05,275,4123,13 16 9 17 11 19 10 6 7 15 1 12 5 20 2 3 8 14 4 18,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1325,0,0.0,0.01956909999717027,1.4700010069645941e-05,278,4124,13 16 9 17 11 19 10 6 7 15 1 12 5 20 2 3 8 14 4 18,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1305,0,0.0,0.018937700006063096,1.479999627918005e-05,272,5123,5 3 12 10 20 19 9 18 7 17 15 13 4 16 6 2 14 11 8 1,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1305,0,0.0,0.01902019999397453,1.479999627918005e-05,244,5124,5 3 12 10 20 19 9 18 7 17 15 13 4 16 6 2 14 11 8 1,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
