experiment,variant,mean_sa_best_cmax,mean_improvement_percent,min_improvement_percent,max_improvement_percent,mean_sa_time,runs
alpha,0.9,1260.5,2.2315753297048166,0.0,6.125970664365832,0.2022021800017683,10
alpha,0.95,1255.6,2.60305680853828,0.0,6.125970664365832,0.20419676000019535,10
alpha,0.99,1256.8,2.528206749779314,0.0,6.729939603106126,0.20554543000034756,10
alpha,0.995,1258.0,2.4311798192752483,0.0,6.125970664365832,0.20381665999884718,10
initial,neh,1258.0,2.4311798192752483,0.0,6.125970664365832,0.2038607599984971,10
initial,random,1262.0,2.1208787919307803,-0.8553654743390358,6.729939603106126,0.20153540000028441,10
iterations,1000,1286.4,0.13805004314063848,0.0,1.0353753235547887,0.020377019997977187,10
iterations,10000,1258.0,2.4311798192752483,0.0,6.125970664365832,0.2062222299980931,10
iterations,5000,1259.9,2.2769740140104626,0.0,6.125970664365832,0.10186788000137312,10
iterations,50000,1251.6,2.934086007765848,0.0,6.729939603106126,1.0667045299982418,10
neighborhood,insert,1257.2,2.490160458157968,0.0,6.125970664365832,0.2565268299978925,10
neighborhood,swap,1258.0,2.4311798192752483,0.0,6.125970664365832,0.20148283000307857,10
t_start,10,1256.2,2.5731028033885983,0.0,6.729939603106126,0.20625713000190443,10
t_start,100,1259.2,2.328994544625658,0.0,6.125970664365832,0.2387332099970081,10
t_start,1000,1258.0,2.4311798192752483,0.0,6.125970664365832,0.20544533999782288,10
t_start,10000,1259.3,2.311363023181261,0.0,5.2631578947368425,0.20568639000412076,10
