iteration,temperature,current_cmax,best_cmax,candidate_cmax,delta,accepted,accepted_worse
1,1000.0,1442,1286,1442,156,True,True
2,995.0,1442,1286,1442,0,True,False
3,990.0250000000001,1442,1286,1442,0,True,False
4,985.074875,1442,1286,1442,0,True,False
5,980.149500625,1442,1286,1442,0,True,False
6,975.248753121875,1457,1286,1457,15,True,True
7,970.3725093562656,1457,1286,1457,0,True,False
8,965.5206468094842,1434,1286,1434,-23,True,False
9,960.6930435754368,1470,1286,1470,36,True,True
10,955.8895783575596,1459,1286,1459,-11,True,False
11,951.1101304657718,1459,1286,1459,0,True,False
12,946.3545798134429,1457,1286,1457,-2,True,False
13,941.6228069143757,1457,1286,1457,0,True,False
14,936.9146928798039,1494,1286,1494,37,True,True
15,932.2301194154049,1408,1286,1408,-86,True,False
16,927.5689688183278,1413,1286,1413,5,True,True
17,922.9311239742361,1437,1286,1437,24,True,True
18,918.3164683543649,1357,1286,1357,-80,True,False
19,913.7248860125932,1390,1286,1390,33,True,True
20,909.1562615825302,1377,1286,1377,-13,True,False
21,904.6104802746175,1361,1286,1361,-16,True,False
22,900.0874278732445,1395,1286,1395,34,True,True
23,895.5869907338782,1378,1286,1378,-17,True,False
24,891.1090557802088,1469,1286,1469,91,True,True
25,886.6535105013078,1412,1286,1412,-57,True,False
26,882.2202429488012,1401,1286,1401,-11,True,False
27,877.8091417340572,1401,1286,1401,0,True,False
28,873.4200960253869,1410,1286,1410,9,True,True
29,869.05299554526,1427,1286,1427,17,True,True
30,864.7077305675336,1427,1286,1427,0,True,False
31,860.3841919146961,1484,1286,1484,57,True,True
32,856.0822709551226,1454,1286,1454,-30,True,False
33,851.8018596003469,1512,1286,1512,58,True,True
34,847.5428503023452,1497,1286,1497,-15,True,False
35,843.3051360508334,1455,1286,1455,-42,True,False
36,839.0886103705792,1409,1286,1409,-46,True,False
37,834.8931673187265,1408,1286,1408,-1,True,False
38,830.7187014821328,1461,1286,1461,53,True,True
39,826.5651079747221,1429,1286,1429,-32,True,False
40,822.4322824348485,1397,1286,1397,-32,True,False
41,818.3201210226742,1489,1286,1489,92,True,True
42,814.2285204175608,1538,1286,1538,49,True,True
43,810.1573778154731,1551,1286,1551,13,True,True
44,806.1065909263957,1605,1286,1605,54,True,True
45,802.0760579717637,1614,1286,1614,9,True,True
46,798.0656776819048,1623,1286,1623,9,True,True
47,794.0753492934954,1578,1286,1578,-45,True,False
48,790.1049725470278,1552,1286,1552,-26,True,False
49,786.1544476842928,1552,1286,1552,0,True,False
50,782.2236754458712,1564,1286,1564,12,True,True
51,778.3125570686419,1560,1286,1560,-4,True,False
52,774.4209942832987,1589,1286,1589,29,True,True
53,770.5488893118821,1589,1286,1589,0,True,False
54,766.6961448653228,1488,1286,1488,-101,True,False
55,762.8626641409961,1488,1286,1488,0,True,False
56,759.0483508202913,1487,1286,1487,-1,True,False
57,755.2531090661897,1491,1286,1491,4,True,True
58,751.4768435208588,1417,1286,1417,-74,True,False
59,747.7194593032544,1417,1286,1417,0,True,False
60,743.9808620067382,1425,1286,1425,8,True,True
61,740.2609576967045,1417,1286,1417,-8,True,False
62,736.559652908221,1417,1286,1417,0,True,False
63,732.87685464368,1417,1286,1417,0,True,False
64,729.2124703704615,1417,1286,1463,46,False,False
65,725.5664080186092,1417,1286,1417,0,True,False
66,721.938575978516,1445,1286,1445,28,True,True
67,718.3288830986236,1417,1286,1417,-28,True,False
68,714.7372386831304,1431,1286,1431,14,True,True
69,711.1635524897148,1417,1286,1417,-14,True,False
70,707.6077347272661,1417,1286,1417,0,True,False
71,704.0696960536297,1417,1286,1480,63,False,False
72,700.5493475733616,1417,1286,1417,0,True,False
73,697.0466008354948,1434,1286,1434,17,True,True
74,693.5613678313174,1434,1286,1508,74,False,False
75,690.0935609921607,1475,1286,1475,41,True,True
76,686.6430931872,1475,1286,1475,0,True,False
77,683.209877721264,1475,1286,1475,0,True,False
78,679.7938283326577,1463,1286,1463,-12,True,False
79,676.3948591909945,1414,1286,1414,-49,True,False
80,673.0128848950394,1488,1286,1488,74,True,True
81,669.6478204705642,1502,1286,1502,14,True,True
82,666.2995813682113,1528,1286,1528,26,True,True
83,662.9680834613703,1528,1286,1528,0,True,False
84,659.6532430440635,1494,1286,1494,-34,True,False
85,656.3549768288432,1537,1286,1537,43,True,True
86,653.0732019446989,1537,1286,1537,0,True,False
87,649.8078359349754,1500,1286,1500,-37,True,False
88,646.5587967553006,1497,1286,1497,-3,True,False
89,643.326002771524,1497,1286,1497,0,True,False
90,640.1093727576664,1479,1286,1479,-18,True,False
91,636.9088258938781,1500,1286,1500,21,True,True
92,633.7242817644086,1522,1286,1522,22,True,True
93,630.5556603555866,1522,1286,1522,0,True,False
94,627.4028820538086,1557,1286,1557,35,True,True
95,624.2658676435397,1510,1286,1510,-47,True,False
96,621.1445383053219,1510,1286,1510,0,True,False
97,618.0388156137954,1513,1286,1513,3,True,True
98,614.9486215357264,1572,1286,1572,59,True,True
99,611.8738784280478,1563,1286,1563,-9,True,False
100,608.8145090359075,1563,1286,1563,0,True,False
101,605.7704364907279,1552,1286,1552,-11,True,False
102,602.7415843082742,1572,1286,1572,20,True,True
103,599.727876386733,1572,1286,1572,0,True,False
104,596.7292370047993,1556,1286,1556,-16,True,False
105,593.7455908197753,1533,1286,1533,-23,True,False
106,590.7768628656764,1533,1286,1533,0,True,False
107,587.822978551348,1547,1286,1547,14,True,True
108,584.8838636585913,1515,1286,1515,-32,True,False
109,581.9594443402983,1540,1286,1540,25,True,True
110,579.0496471185969,1540,1286,1641,101,False,False
111,576.1543988830038,1580,1286,1580,40,True,True
112,573.2736268885889,1591,1286,1591,11,True,True
113,570.4072587541459,1603,1286,1603,12,True,True
114,567.5552224603751,1642,1286,1642,39,True,True
115,564.7174463480732,1656,1286,1656,14,True,True
116,561.8938591163328,1608,1286,1608,-48,True,False
117,559.0843898207512,1551,1286,1551,-57,True,False
118,556.2889678716475,1543,1286,1543,-8,True,False
119,553.5075230322892,1543,1286,1543,0,True,False
120,550.7399854171277,1585,1286,1585,42,True,True
121,547.9862854900422,1553,1286,1553,-32,True,False
122,545.2463540625919,1532,1286,1532,-21,True,False
123,542.520122292279,1516,1286,1516,-16,True,False
124,539.8075216808176,1485,1286,1485,-31,True,False
125,537.1084840724134,1500,1286,1500,15,True,True
126,534.4229416520513,1568,1286,1568,68,True,True
127,531.7508269437911,1572,1286,1572,4,True,True
128,529.0920728090721,1620,1286,1620,48,True,True
129,526.4466124450267,1597,1286,1597,-23,True,False
130,523.8143793828016,1586,1286,1586,-11,True,False
131,521.1953074858876,1502,1286,1502,-84,True,False
132,518.5893309484582,1592,1286,1592,90,True,True
133,515.996384293716,1592,1286,1592,0,True,False
134,513.4164023722474,1541,1286,1541,-51,True,False
135,510.8493203603861,1574,1286,1574,33,True,True
136,508.2950737585842,1574,1286,1638,64,False,False
137,505.7535983897913,1573,1286,1573,-1,True,False
138,503.22483039784225,1573,1286,1573,0,True,False
139,500.7087062458531,1600,1286,1600,27,True,True
140,498.2051627146238,1557,1286,1557,-43,True,False
141,495.7141369010507,1576,1286,1576,19,True,True
142,493.2355662165454,1574,1286,1574,-2,True,False
143,490.76938838546266,1535,1286,1535,-39,True,False
144,488.3155414435354,1544,1286,1544,9,True,True
145,485.8739637363177,1544,1286,1544,0,True,False
146,483.4445939176361,1544,1286,1544,0,True,False
147,481.0273709480479,1507,1286,1507,-37,True,False
148,478.62223409330767,1498,1286,1498,-9,True,False
149,476.22912292284116,1520,1286,1520,22,True,True
150,473.8479773082269,1584,1286,1584,64,True,True
151,471.47873742168576,1570,1286,1570,-14,True,False
152,469.12134373457735,1598,1286,1598,28,True,True
153,466.7757370159045,1541,1286,1541,-57,True,False
154,464.44185833082497,1508,1286,1508,-33,True,False
155,462.11964903917084,1553,1286,1553,45,True,True
156,459.809050793975,1533,1286,1533,-20,True,False
157,457.51000554000507,1524,1286,1524,-9,True,False
158,455.22245551230503,1509,1286,1509,-15,True,False
159,452.94634323474355,1522,1286,1522,13,True,True
160,450.6816115185698,1522,1286,1522,0,True,False
161,448.42820346097693,1485,1286,1485,-37,True,False
162,446.1860624436721,1481,1286,1481,-4,True,False
163,443.9551321314537,1484,1286,1484,3,True,True
164,441.7353564707965,1487,1286,1487,3,True,True
165,439.52667968844247,1465,1286,1465,-22,True,False
166,437.32904629000024,1465,1286,1495,30,False,False
167,435.1424010585502,1451,1286,1451,-14,True,False
168,432.96668905325754,1447,1286,1447,-4,True,False
169,430.80185560799123,1457,1286,1457,10,True,True
170,428.6478463299512,1457,1286,1521,64,False,False
171,426.5046070983015,1457,1286,1457,0,True,False
172,424.37208406280996,1492,1286,1492,35,True,True
173,422.25022364249594,1516,1286,1516,24,True,True
174,420.1389725242835,1612,1286,1612,96,True,True
175,418.038277661662,1645,1286,1645,33,True,True
176,415.94808627335374,1651,1286,1651,6,True,True
177,413.868345841987,1652,1286,1652,1,True,True
178,411.799004112777,1532,1286,1532,-120,True,False
179,409.74000909221314,1550,1286,1550,18,True,True
180,407.69130904675205,1566,1286,1566,16,True,True
181,405.6528525015183,1560,1286,1560,-6,True,False
182,403.62458823901073,1547,1286,1547,-13,True,False
183,401.60646529781565,1526,1286,1526,-21,True,False
184,399.5984329713266,1567,1286,1567,41,True,True
185,397.6004408064699,1541,1286,1541,-26,True,False
186,395.6124386024376,1522,1286,1522,-19,True,False
187,393.6343764094254,1547,1286,1547,25,True,True
188,391.6662045273783,1546,1286,1546,-1,True,False
