instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.001,20,5,1286,1286,1286,1286,0,0.0,0.04156899999361485,0.20896649999485817,276,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.017593299999134615,1.7300000763498247e-05,282,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.018395099992631003,1.3299999409355223e-05,248,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.018273700014105998,1.4999997802078724e-05,256,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1155,-4,0.3451251078515962,0.018640599999343976,1.5199999324977398e-05,248,3123,16 3 7 20 2 5 14 10 19 12 9 13 1 11 18 4 17 8 15 6,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1147,-12,1.0353753235547887,0.01809250000223983,1.5600002370774746e-05,260,3124,16 3 18 20 7 1 12 10 5 17 9 4 14 19 11 15 13 2 8 6,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1325,0,0.0,0.01788319999468513,1.5199999324977398e-05,275,4123,13 16 9 17 11 19 10 6 7 15 1 12 5 20 2 3 8 14 4 18,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1325,0,0.0,0.018144300003768876,1.3500000932253897e-05,278,4124,13 16 9 17 11 19 10 6 7 15 1 12 5 20 2 3 8 14 4 18,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1305,0,0.0,0.017896700010169297,1.5900004655122757e-05,272,5123,5 3 12 10 20 19 9 18 7 17 15 13 4 16 6 2 14 11 8 1,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1305,0,0.0,0.017755399996531196,1.5000012353993952e-05,244,5124,5 3 12 10 20 19 9 18 7 17 15 13 4 16 6 2 14 11 8 1,iterations,1000,1000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.09436869999626651,1.340000017080456e-05,284,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.09233729999687057,1.8499995348975062e-05,290,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.11850689999118913,1.6099991626106203e-05,253,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.0894177000009222,1.6399993910454214e-05,270,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.0920029999979306,1.610000617802143e-05,254,3123,3 4 16 14 19 20 1 7 18 12 10 5 13 6 11 17 9 8 15 2,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.09228779999830294,1.7999991541728377e-05,267,3124,3 16 14 19 10 18 7 20 1 11 13 12 4 5 8 17 9 6 15 2,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1309,-16,1.2075471698113207,0.09320279999519698,1.7400001524947584e-05,283,4123,13 16 11 19 17 9 2 15 12 7 20 5 10 1 8 14 3 4 18 6,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1309,-16,1.2075471698113207,0.09321750000526663,1.720000000204891e-05,286,4124,13 16 11 9 7 17 19 10 1 12 15 2 4 5 8 20 6 14 3 18,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.09437189999152906,1.7300000763498247e-05,284,5123,12 9 15 19 6 17 4 13 18 16 5 10 2 11 1 3 14 7 8 20,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1243,-62,4.75095785440613,0.0958777000050759,1.7499987734481692e-05,247,5124,12 3 5 19 13 9 10 17 4 16 6 15 11 2 14 18 7 1 20 8,iterations,5000,5000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.19074409999302588,1.8000006093643606e-05,284,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18329280000762083,1.8399994587525725e-05,290,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.17889750000904314,1.7400001524947584e-05,253,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.17888840001251083,1.7299986211583018e-05,270,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.18254230001184624,1.790000533219427e-05,254,3123,3 4 16 14 19 20 1 7 18 12 10 5 13 6 11 17 9 8 15 2,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.1838889999926323,1.71000137925148e-05,267,3124,3 4 16 14 19 7 10 18 20 12 8 5 1 17 9 11 13 6 15 2,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1309,-16,1.2075471698113207,0.18479179999849293,1.9700004486367106e-05,283,4123,13 16 11 19 17 9 2 15 12 7 20 5 10 1 8 14 3 4 18 6,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1300,-25,1.8867924528301887,0.18800259999989066,1.829999382607639e-05,286,4124,13 17 9 11 7 16 19 1 20 15 2 12 10 4 5 8 6 14 3 18,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.1858621999999741,1.920000067912042e-05,284,5123,12 9 15 19 6 17 4 13 18 16 5 10 2 11 1 3 14 7 8 20,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1243,-62,4.75095785440613,0.18570040000486188,1.9899991457350552e-05,247,5124,12 3 5 19 13 9 10 17 4 16 6 15 11 2 14 18 7 1 20 8,iterations,10000,10000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1278,-8,0.6220839813374806,0.9466716000024462,2.0399995264597237e-05,284,1123,9 17 15 1 2 6 14 3 11 13 4 19 5 18 7 8 16 10 20 12,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1278,-8,0.6220839813374806,0.91784040001221,2.4599998141638935e-05,290,1124,3 17 15 9 8 19 13 6 5 14 4 16 18 1 2 7 11 10 20 12,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.9200664999953005,2.3200002033263445e-05,253,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1360,-5,0.3663003663003663,0.9229254999954719,2.400000812485814e-05,270,2124,6 19 10 7 15 12 16 17 9 5 3 18 1 20 11 14 13 8 4 2,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1081,-78,6.729939603106126,0.9331767999974545,2.239999594166875e-05,254,3123,3 4 16 14 13 20 18 19 12 10 5 1 7 11 17 9 6 8 15 2,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1081,-78,6.729939603106126,0.9395013999892399,2.400000812485814e-05,267,3124,3 4 16 14 13 20 19 5 1 18 12 10 11 7 17 9 6 8 15 2,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1301,-24,1.8113207547169812,0.9180650000052992,2.1900006686337292e-05,283,4123,13 9 16 17 11 19 10 1 15 12 7 5 20 2 8 14 3 6 4 18,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1298,-27,2.0377358490566038,0.9270229999965522,2.439999661874026e-05,286,4124,13 17 9 11 7 16 19 10 5 1 12 15 20 2 4 8 6 14 3 18,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1239,-66,5.057471264367816,0.9195314999960829,3.070000093430281e-05,284,5123,12 4 13 19 3 9 6 17 16 2 5 10 7 11 15 14 18 1 20 8,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1235,-70,5.363984674329502,0.9333291999937501,2.7099988074041903e-05,247,5124,12 19 9 3 10 17 16 4 6 2 15 5 13 11 14 7 18 1 20 8,iterations,50000,50000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18440539999573957,2.300000051036477e-05,9,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.1835065999912331,1.850000990089029e-05,13,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1360,-5,0.3663003663003663,0.18320200000016484,1.8999999156221747e-05,12,2123,6 19 10 7 15 17 3 9 18 12 20 11 8 4 13 16 1 5 2 14,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.1812037999916356,1.790000533219427e-05,11,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1081,-78,6.729939603106126,0.18201760000374634,1.7699989257380366e-05,14,3123,3 4 16 14 13 20 19 18 7 1 12 5 9 10 17 11 6 8 15 2,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1089,-70,6.039689387402934,0.18200549999892246,1.889999839477241e-05,9,3124,3 4 16 14 20 18 11 13 7 10 19 5 1 12 9 17 6 8 15 2,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1308,-17,1.2830188679245282,0.18134629999985918,1.790000533219427e-05,8,4123,13 16 9 11 17 2 1 5 20 15 19 10 12 7 8 3 6 14 4 18,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1300,-25,1.8867924528301887,0.18215239999699406,1.990000600926578e-05,15,4124,13 17 9 11 2 16 19 1 12 15 20 7 4 10 5 8 6 14 3 18,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1243,-62,4.75095785440613,0.1813116999983322,1.8399994587525725e-05,9,5123,12 13 5 17 4 16 6 15 19 3 9 11 10 2 14 18 7 1 20 8,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1244,-61,4.674329501915709,0.18007339999894612,2.020000829361379e-05,12,5124,12 4 3 13 5 9 19 17 16 6 15 11 10 2 18 14 7 8 20 1,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.1794135000091046,1.8999999156221747e-05,102,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18057039999985136,2.0099992980249226e-05,137,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.1782855999917956,1.8699996871873736e-05,104,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.18039819999830797,1.8399994587525725e-05,111,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.1838858999981312,1.930000144056976e-05,90,3123,3 16 14 20 1 18 7 19 12 8 5 10 13 11 17 9 6 4 15 2,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.18279330000223126,2.6900001103058457e-05,81,3124,3 4 16 14 19 1 20 18 5 10 12 7 9 17 6 13 11 8 15 2,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1305,-20,1.509433962264151,0.18323249999957625,1.790000533219427e-05,123,4123,13 9 16 11 17 15 2 19 10 12 7 5 20 8 1 6 14 3 4 18,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1299,-26,1.9622641509433962,0.18540990000474267,1.8600010662339628e-05,116,4124,13 9 16 7 17 11 12 15 2 20 19 10 1 5 6 8 14 3 4 18,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.18793749999895226,1.7400001524947584e-05,110,5123,12 4 3 9 5 16 17 13 6 2 11 15 19 1 14 18 7 8 10 20,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.17961300000024494,1.889999839477241e-05,95,5124,10 12 9 13 3 5 16 17 15 19 6 2 4 7 11 18 14 8 20 1,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.1780521999899065,1.8099992303177714e-05,284,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.17868230000021867,1.8300008377991617e-05,290,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.17659780000394676,1.759998849593103e-05,253,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.1770233000133885,1.8100006855092943e-05,270,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
